Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2
3327,purple_binder_early_childhood.csv, Precious Infants & Tots Learning Center,624 E 47th Street ,60653,2682685,,,,,,,,,,,,,,,,,,,,,,,,,,Early Head Start
608,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Malcolm X College,1900 W Van Buren St ,,8507000,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
1802,chapin_dfss_providers_2011_070212.csv,LUTHERAN SOCIAL SERVICES OF ILLINOIS ENGLEWOOD MESSIAH,1910 W 64TH STREET ,60636,4365110,,,,,,,LUTHERAN SOCIAL SERVICES OF ILLINOIS,WEST ENGLEWOOD,,,,,Delphine Whittlesey,Yes,No,No,,,,,,,,,,
1259,CPS_Early_Childhood_Portal_scrape.csv, Gads Hill Center - Sinai Community/Ogden,2653 W Ogden Ave ,,5211196,,State Pre-Kindergarten,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
2458,ECE Chicago Find a School scrape.csv, Dever,3436 N. Osceola ,60634,5343090,,,,,,Dunning,,,,,,,,,,,,,PFA-REG,,,,,,,
676,CPS_Early_Childhood_Portal_scrape.csv, Carole Robertson Center For Learning - Carole Robertson Center 2929,2929 W 19th St ,,5211600,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
942,CPS_Early_Childhood_Portal_scrape.csv, Pilsen,1420 W. 17Th St. ,,5347675,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
422,CPS_Early_Childhood_Portal_scrape.csv, Granny's Daycare Center,645 W. 127th St. ,,8485827,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
2914,NAEYC_accreditation.csv, Ezzard Charles School,7946 South Ashland Avenue  ,60620,4870227,,,,,,,,,,,,,,,,,,,,,,08/31/13,486942,ezzardezzi@aol.com,,
220,CPS_Early_Childhood_Portal_scrape.csv," Montessori Academy and Association, Inc. 2",10232 S. Halsted St. ,,2331100,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
3100,purple_binder_early_childhood.csv, Chicago Youth Centers - ABC Youth Center,3415 W 13th Place ,60623,7625655,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
2389,ECE Chicago Find a School scrape.csv, Chase,2021 N. Point St. ,60647,5344185,,,,,,Logan Square,,,,,,,,,,,,,HS-HD,,,,,,,
2500,ECE Chicago Find a School scrape.csv, Eyes on the Future II,1773 W. Lunt ,60626,7628045,,,,,,Rogers Park,,,,,,,,,,,,,CP,,,,,,,
332,CPS_Early_Childhood_Portal_scrape.csv, Concordia Child Care Center Avondale,3300 N. Whipple ,,4631600,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
3027,purple_binder_early_childhood.csv, Abraham Lincoln Centre,3858 S Cottage Grove Avenue ,60653,3736600,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
724,CPS_Early_Childhood_Portal_scrape.csv, Peck,3826 W. 58Th ,,5352450,,Head Start,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
1913,DFSS_AgencySiteLies_2012.csv,"Ada S. McKinley
Community Services McKinley-Roseland",11410 S. Edbrooke ,60628,4681918,,,,,,,"Ada S. McKinley
Community Services",,,,,,,,,,,www.adasmckinley.org,"George Jones, Jr.",Anna Luna,,,,,,
1280,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Leclaire-Ryder Day Care / Hull House,4410 S Laporte Ave ,,7675170,,State Pre-Kindergarten,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
