_id,ltable_Id,rtable_Id,ltable_Site name,ltable_Address,ltable_Phone,ltable_Zip,rtable_Site name,rtable_Address,rtable_Phone,rtable_Zip,label
2,2214,1880,Henry Booth House The World Is Yours,8026 S Cottage Grove Ave. ,,60619,SOUTH CENTRAL COMMUNITY SERVICES SOUTH CENTRAL COMMUNITY SERVICE,8316 S ELLIS AVE ,4830900,60619,0
5,2214,2214,Henry Booth House The World Is Yours,8026 S Cottage Grove Ave. ,,60619,Henry Booth House The World Is Yours,8026 S Cottage Grove Ave. ,,60619,1
6,2214,2885,Henry Booth House The World Is Yours,8026 S Cottage Grove Ave. ,,60619, Chesterfield Tom Thumb Day Care Center & Kindergarten,9208-9214 South Cottage Grove  ,8743985,60619,0
13,2663,2663, Monroe,3651 W. Shubert ,5344155,60647, Monroe,3651 W. Shubert ,5344155,60647,1
18,3083,3027, Centers for New Horizons Raymond School,3663 S Wabash Avenue ,3735673,60653, Abraham Lincoln Centre,3858 S Cottage Grove Avenue ,3736600,60653,0
19,3083,3083, Centers for New Horizons Raymond School,3663 S Wabash Avenue ,3735673,60653, Centers for New Horizons Raymond School,3663 S Wabash Avenue ,3735673,60653,1
20,3083,2291, Centers for New Horizons Raymond School,3663 S Wabash Avenue ,3735673,60653,YMCA of Metropolitan Chicago Wabash,3763 S. Wabash Ave. ,2850020,60653,0
48,690,329, Bethel New Life - Lake and Pulaski,316 N Pulaski Rd ,2653830,, Bethel New Life Bethel Child Development,316 N. Pulaski ,2653830,,0
52,515,516, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,9395115,, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,9395115,,1
53,515,1161, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,9395115,, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,9395115,,1
58,3311,3311, Carole Robertson Center For Learning,3701 W Ogden Avenue ,5228400,60623, Carole Robertson Center For Learning,3701 W Ogden Avenue ,5228400,60623,1
73,953,953, Harte,1556 E. 56Th St. ,5350870,, Harte,1556 E. 56Th St. ,5350870,,1
