_id,ltable_Id,rtable_Id,ltable_Site name,ltable_Address,ltable_Zip,ltable_Phone,rtable_Site name,rtable_Address,rtable_Zip,rtable_Phone,label
72,1229,515, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115,1
141,1234,2269, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433,South East Asia Center South East Asia Center (Ainslie),1134 W. Ainslie ,60640,9897433,0
178,248,248, Passages Charter School,1447 W. Montrose ,,5491052, Passages Charter School,1447 W. Montrose ,,5491052,1
440,348,348, Ada S. McKinley St. Thomas CDC,3801 S. Wabash ,,2850617, Ada S. McKinley St. Thomas CDC,3801 S. Wabash ,,2850617,1
727,821,821," Davis, Miles Acad",6723 S. Wood ,,5359120," Davis, Miles Acad",6723 S. Wood ,,5359120,1
741,181,2095, Chicago State University - Tiny Tots Villa,8128 S Dr. Martin Luther King Dr ,,4836251,Chicago State University Tiny Tots Villa,8128 S. King Dr. ,60641,4836251,1
817,453,856, Tiny Tot Villa,8128 S. DR MARTIN LUTHER KING JR Drive ,,4836251, Chicago State University - Tiny Tots Villa,8128 S Dr. Martin Luther King Dr ,,4836251,1
820,453,2095, Tiny Tot Villa,8128 S. DR MARTIN LUTHER KING JR Drive ,,4836251,Chicago State University Tiny Tots Villa,8128 S. King Dr. ,60641,4836251,1
898,0,1879, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,SALVATION ARMY TEMPLE,1 N OGDEN ,60640,2262649,1
924,509,1225, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,1
1104,431,169, YMCA Garfield,7 N. Homan Avenue ,,2653900, YMCA of Metropolitan Chicago - Garfield Head Start/Child Developmental Center- YMCA,7 N Homan Ave ,,2653900,1
1136,828,2851, YMCA of Metropolitan Chicago - Garfield Head Start/Child Developmental Center- YMCA,7 N Homan Ave ,,2653900, YMCA Garfield I/T,7 N. Homan Av. ,60624,2653900,1
1302,2850,3292, YMCA Garfield,7 N. Homan Av. ,60624,2653900, YMCA Garfield School,7 N Homan Avenue ,60624,2653900,1
1364,2851,507, YMCA Garfield I/T,7 N. Homan Av. ,60624,2653900, YMCA of Metropolitan Chicago - Garfield Head Start/Child Developmental Center- YMCA,7 N Homan Ave ,,2653900,1
1670,216,2280, National Louis University-Dr. Effie O. Ellis Head Start,10 S. Kedzie ,,5339011,YMCA of Metropolitan Chicago Dr. Effie O Ellis,10 S. Kedzie ,60612,5339011,1
2738,2181,2773,Henry Booth House Allison's,34 E. 115th St. ,60628,8404502, Smith,744 E. 103rd St. ,60628,5355689,0
2806,346,115, Firman Pre-School West,37 W. 47th Street ,,3733400, Firman Community Services - Firman House West,37 W 47th St ,,3733400,1
3054,2167,2603,Firman Community Services Firman House West,37 W. 47th St. ,60609,3733400, KKP - Little Learners Daycare,5923 W. 63rd St. ,60609,5815541,0
3967,1961,1961,"Chicago Commons
Association V & J Day Care Center",1 E 113th St ,60628,7853940,"Chicago Commons
Association V & J Day Care Center",1 E 113th St ,60628,7853940,1
4966,254,2983," Early Child Care Services,Inc.",160 N. LaSalle N. 201 ,,8144782, State of Illinois Child Development Center,160 North LaSalle N201 ,60601,8144782,1
5706,2814,2850, Tilton,223 N. Keeler Av. ,60624,5346746, YMCA Garfield,7 N. Homan Av. ,60624,2653900,0
6042,2094,2623,Chicago State University The Love Learning Center,228 E 61st St ,60637,7520243, Love Learning Center,362 E. 61st St ,60637,7520243,1
7051,1577,1793,"CHICAGO PUBLIC SCHOOLS SHERWOOD, JESSIE",245 W 57TH ST ,60621,5350829,HULL HOUSE ASSOCIATION KINGS KIDDIE KINGDOM,815 W 74TH ST ,60621,,0
8351,2093,1467,Chicago State University Shining Star Early Learning Academy - III,338 E 103rd St ,60628,9957827,CHICAGO COMMONS ASSOCIATION V & J DAY CARE CENTER,1 E 113THK ST ,60628,7854393,0
8673,2546,1905, Happy Holiday Nursery,401 E. 111th St ,60628,8217009,Abraham Lincoln Center Lincoln Roseland,7 E. 119th St. ,60628,2647633,0
8676,2546,2773, Happy Holiday Nursery,401 E. 111th St ,60628,8217009, Smith,744 E. 103rd St. ,60628,5355689,0
8839,2836,2202, Westcott,409 W. 80Th St. ,60620,5353394,Henry Booth House Little Hands and Feet II (87th),1414 W 87TH St. ,60620,2392322,0
9553,2111,2880,Chicago Youth Centers Roseland Child Development,461 E. 111th St. ,60627,4684405, C.Y.C. Roseland Head Start,461 East 111th Street  ,60628,4684405,1
9573,132,131, Chicago Youth Centers - Roseland / CYC,461 E 111th St ,,4684405, Chicago Youth Centers - Roseland / CYC,461 E 111th St ,,4684405,1
9580,374,2111, Chicago Youth Centers Roseland,461 E. 111th Street ,,4684405,Chicago Youth Centers Roseland Child Development,461 E. 111th St. ,60627,4684405,1
9593,753,754, Chicago Youth Centers - Roseland / CYC,461 E 111th St ,,4684405, Chicago Youth Centers - Roseland / CYC,461 E 111th St ,,4684405,1
9600,754,753, Chicago Youth Centers - Roseland / CYC,461 E 111th St ,,4684405, Chicago Youth Centers - Roseland / CYC,461 E 111th St ,,4684405,1
10764,3044,3257, Appeal for Charities Emmanuel,50 W 71st Street ,60621,6515400, Salvation Army - Family Outreach Initiative,845 W 69th Street ,60621,3824706,0
11239,2180,1546,Henry Booth House All About Kids Learning Academy,514 E. 75th St. ,60619,8922800,"CHICAGO PUBLIC SCHOOLS MCDOWELL, MARY E.",1419 E 89TH ST ,60619,5356404,0
11288,395,2218," Whiz Kids Nursery Center, Inc.",518 W. 103rd St. ,,2339445,Henry Booth House Whiz Kids Nursery 518 W 103 Rd ST,518 W 103rd St. ,60628,2339445,1
11323,1649,1889,EASTER SEALS SOCIETY OF METROPOLITAN CHICAGO WHIZ KIDS NURSERY CENTER,518 W 103RD ST ,60628,2339445,TRINITY UNITED CHURCH OF CHRIST TRINITY UCC,532 W 95TH ST ,60628,,0
11501,2139,1525,Easter Seals Society of Metropolitan Chicago Whiz Kids Nursery Center,518 W 103rd St. ,60628,2339445,"CHICAGO PUBLIC SCHOOLS HUGHES, LANGSTON",226 W 104TH ST ,60628,5355075,0
12180,147,147, Trinity United Church of Christ - Trinity United,532 W 95th St ,,4883511, Trinity United Church of Christ - Trinity United,532 W 95th St ,,4883511,1
12325,2277,1649,Trinity United Church of Christ Dr. Jeremiah Wright  Jr. Early Care and Learning Center,532 W 95th St. ,60628,9661503,EASTER SEALS SOCIETY OF METROPOLITAN CHICAGO WHIZ KIDS NURSERY CENTER,518 W 103RD ST ,60628,2339445,0
12651,403,3055, Bunnyland Developmental Childcare,545 W. 119th Street ,,5685200, Bunnyland Developmental Day Care Center,545 W 119th Street ,60628,5685200,1
13198,3256,3256, Salvation Army - Edsel Albert Ammons Nursery,549 E 76th Street ,60619,4837040, Salvation Army - Edsel Albert Ammons Nursery,549 E 76th Street ,60619,4837040,1
13790,414,3164, Learning Center of Heartland Human Care Services,615 W. Wellington Ave. ,,7511870, Heartland Alliance for Human Needs and Human Rights - Learning Center,615 W Wellington Avenue ,60657,7511870,1
